time,I_YSZ_bottom,dt,eta_total,j_YSZ_bottom,numerical_phi_YSZ,phi_LSM_model
0,0,0,0,0,0.036069999999999,1.07272
0.01,-1.2770611890378e-08,0.01,0.004,-0.012815426057871,0.036069999999999,1.06872
0.029,-3.6911185915853e-08,0.019,0.0116,-0.037040713309072,0.036069999999999,1.06112
0.0651,-8.4425065714389e-08,0.0361,0.02604,-0.084721327089173,0.036069999999999,1.04668
0.1,-1.3416511768534e-07,0.0349,0.04,-0.13463592504424,0.036069999999999,1.03272
0.2,-3.147704074189e-07,0.1,0.08,-0.31587498830201,0.036069999999999,0.99272
0.3,-5.8581283124879e-07,0.1,0.12,-0.58786854436294,0.036069999999999,0.95272
0.4,-9.934763460344e-07,0.1,0.16,-0.9969626171507,0.036069999999999,0.91272
0.5,-1.5935705709537e-06,0.1,0.2,-1.5991626709322,0.036069999999999,0.87272
0.6,-2.4529901603948e-06,0.1,0.24,-2.4615981043875,0.036069999999999,0.83272
0.72,-3.9220721148323e-06,0.12,0.288,-3.9358353078711,0.036069999999999,0.78472
0.864,-6.4191114571375e-06,0.144,0.3456,-6.4416371699586,0.036069999999999,0.72712
1,-9.5227177774463e-06,0.136,0.4,-9.5561345528619,0.036069999999999,0.67272
