time,I_YSZ_bottom,dt,eta_total,j_YSZ_bottom,numerical_phi_YSZ,phi_LSM_model
0,0,0,0,0,0.036069999999998,1.07272
0.01,-1.1293220156321e-08,0.01,0.004,-0.01133284991439,0.036069999999998,1.06872
0.029,-3.2642044368235e-08,0.019,0.0116,-0.032756590644965,0.036069999999998,1.06112
0.0651,-7.4413984408891e-08,0.0361,0.02604,-0.074675115260701,0.036069999999998,1.04668
0.1,-1.1761673117056e-07,0.0349,0.04,-0.11802946753244,0.036069999999998,1.03272
0.2,-2.6959197510887e-07,0.1,0.08,-0.27053801747793,0.036069999999998,0.99272
0.3,-4.8920956406079e-07,0.1,0.12,-0.49092628049778,0.036069999999998,0.95272
0.4,-8.1382190725493e-07,0.1,0.16,-0.81667774153866,0.036069999999998,0.91272
0.5,-1.2925977271632e-06,0.1,0.2,-1.2971336641678,0.036069999999998,0.87272
0.6,-1.9893834015136e-06,0.1,0.24,-1.9963644735035,0.036069999999998,0.83272
0.72,-3.2151390226574e-06,0.12,0.288,-3.2264214717608,0.036069999999998,0.78472
0.864,-5.3841337021423e-06,0.144,0.3456,-5.4030275086099,0.036069999999998,0.72712
1,-8.1868653579218e-06,0.136,0.4,-8.2155944085372,0.036069999999998,0.67272
