time,I_YSZ_bottom,dt,eta_total,j_YSZ_bottom,numerical_phi_YSZ,phi_LSM_model
0,0,0,0,0,0.03607,1.07272
0.01,-5.7970765621684e-09,0.01,0.004,-0.0058174194527247,0.03607,1.06872
0.029,-1.6772837735288e-08,0.019,0.0116,-0.016831696368378,0.03607,1.06112
0.0651,-3.8539474283257e-08,0.0361,0.02604,-0.038674715606886,0.03607,1.04668
0.1,-6.1692813826303e-08,0.0349,0.04,-0.061909304008263,0.03607,1.03272
0.2,-1.49395031763e-07,0.1,0.08,-0.14991928338331,0.03607,0.99272
0.3,-2.8876646389817e-07,0.1,0.12,-0.28977979268698,0.03607,0.95272
0.4,-5.0804657449668e-07,0.1,0.16,-0.50982939308665,0.03607,0.91272
0.5,-8.4427046506129e-07,0.1,0.2,-0.84723314831835,0.03607,0.87272
0.6,-1.3480404951232e-06,0.1,0.24,-1.3527709898758,0.03607,0.83272
0.72,-2.2643801395268e-06,0.12,0.288,-2.2723262200835,0.03607,0.78472
0.864,-3.9683177781418e-06,0.144,0.3456,-3.9822432547829,0.03607,0.72712
1,-6.2964738688446e-06,0.136,0.4,-6.3185692262943,0.03607,0.67272
