time,I_YSZ_bottom,dt,eta_total,j_YSZ_bottom,numerical_phi_YSZ,phi_LSM_model
0,0,0,0,0,0.036069999999998,1.07272
0.01,-1.2787528990097e-08,0.01,0.004,-0.012832402522461,0.036069999999998,1.06872
0.029,-3.7007192683076e-08,0.019,0.0116,-0.037137056979757,0.036069999999998,1.06112
0.0651,-8.5000205620531e-08,0.0361,0.02604,-0.085298485255388,0.036069999999998,1.04668
0.1,-1.3600352896216e-07,0.0349,0.04,-0.13648078760715,0.036069999999998,1.03272
0.2,-3.2815847539168e-07,0.1,0.08,-0.32931003719674,0.036069999999998,0.99272
0.3,-6.2622089119418e-07,0.1,0.12,-0.62841840280491,0.036069999999998,0.95272
0.4,-1.0744449953633e-06,0.1,0.16,-1.0782153987235,0.036069999999998,0.91272
0.5,-1.7162566377493e-06,0.1,0.2,-1.7222792632181,0.036069999999998,0.87272
0.6,-2.5954369885318e-06,0.1,0.24,-2.604544801761,0.036069999999998,0.83272
0.72,-4.0267293255605e-06,0.12,0.288,-4.0408597778827,0.036069999999998,0.78472
0.864,-6.3473357928654e-06,0.144,0.3456,-6.3696096331319,0.036069999999998,0.72712
1,-9.1468528067272e-06,0.136,0.4,-9.1789506104367,0.036069999999998,0.67272
