time,I_YSZ_bottom,dt,eta_total,j_YSZ_bottom,numerical_phi_YSZ,phi_LSM_model
0,0,0,0,0,0.036069999999999,1.07272
0.01,-1.1897498235122e-08,0.01,0.004,-0.011939248503882,0.036069999999999,1.06872
0.029,-3.4393315574206e-08,0.019,0.0116,-0.034514007348257,0.036069999999999,1.06112
0.0651,-7.8730623658863e-08,0.0361,0.02604,-0.079006902304375,0.036069999999999,1.04668
0.1,-1.2524988565936e-07,0.0349,0.04,-0.12568940800978,0.036069999999999,1.03272
0.2,-2.9477775978674e-07,0.1,0.08,-0.29581218319679,0.036069999999999,0.99272
0.3,-5.4845277803445e-07,0.1,0.12,-0.55037738860655,0.036069999999999,0.95272
0.4,-9.2521200621039e-07,0.1,0.16,-0.92845872658434,0.036069999999999,0.91272
0.5,-1.4708433369362e-06,0.1,0.2,-1.4760047669619,0.036069999999999,0.87272
0.6,-2.240703852592e-06,0.1,0.24,-2.2485668491824,0.036069999999999,0.83272
0.72,-3.5458993927147e-06,0.12,0.288,-3.5583425340974,0.036069999999999,0.78472
0.864,-5.7819987195312e-06,0.144,0.3456,-5.8022886994696,0.036069999999999,0.72712
1,-8.6254223225799e-06,0.136,0.4,-8.6556903413698,0.036069999999999,0.67272
