time,I_YSZ_bottom,dt,eta_total,j_YSZ_bottom,numerical_phi_YSZ,phi_LSM_model
0,0,0,0,0,0.036069999999998,1.07272
0.01,-9.8550843281363e-09,0.01,0.004,-0.009889667432182,0.036069999999998,1.06872
0.029,-2.8488713694079e-08,0.019,0.0116,-0.028588685253632,0.036069999999998,1.06112
0.0651,-6.4750817614057e-08,0.0361,0.02604,-0.06497803883186,0.036069999999998,1.04668
0.1,-1.0183987112252e-07,0.0349,0.04,-0.10219724390004,0.036069999999998,1.03272
0.2,-2.2815029144082e-07,0.1,0.08,-0.22895090815847,0.036069999999998,0.99272
0.3,-4.0194446786515e-07,0.1,0.12,-0.40335495679553,0.036069999999998,0.95272
0.4,-6.4730828529568e-07,0.1,0.16,-0.64957979602401,0.036069999999998,0.91272
0.5,-9.9550097599411e-07,0.1,0.2,-0.99899435186834,0.036069999999998,0.87272
0.6,-1.4876956915306e-06,0.1,0.24,-1.4929162592269,0.036069999999998,0.83272
0.72,-2.3367904167059e-06,0.12,0.288,-2.3449905967777,0.036069999999998,0.78472
0.864,-3.8297368439887e-06,0.144,0.3456,-3.8431760174481,0.036069999999998,0.72712
1,-5.7752306176927e-06,0.136,0.4,-5.7954968472539,0.036069999999998,0.67272
