time,I_YSZ_bottom,dt,eta_total,j_YSZ_bottom,numerical_phi_YSZ,phi_LSM_model
0,0,0,0,0,0.036069999999999,1.07272
0.01,-8.4271373349988e-09,0.01,0.004,-0.0084567095393108,0.036069999999999,1.06872
0.029,-2.4375189018128e-08,0.019,0.0116,-0.024460725546267,0.036069999999999,1.06112
0.0651,-5.5932398082295e-08,0.0361,0.02604,-0.05612867402251,0.036069999999999,1.04668
0.1,-8.9343415035542e-08,0.0349,0.04,-0.089656935703159,0.036069999999999,1.03272
0.2,-2.1409659185998e-07,0.1,0.08,-0.21484789184541,0.036069999999999,0.99272
0.3,-4.0777791784439e-07,0.1,0.12,-0.4092088773056,0.036069999999999,0.95272
0.4,-7.049237400976e-07,0.1,0.16,-0.70739743288767,0.036069999999999,0.91272
0.5,-1.1475134659793e-06,0.1,0.2,-1.1515402785632,0.036069999999999,0.87272
0.6,-1.7879658881237e-06,0.1,0.24,-1.7942401530899,0.036069999999999,0.83272
0.72,-2.900809234238e-06,0.12,0.288,-2.9109886486625,0.036069999999999,0.78472
0.864,-4.8501863776986e-06,0.144,0.3456,-4.8672064756051,0.036069999999999,0.72712
1,-7.3639544223935e-06,0.136,0.4,-7.3897957438371,0.036069999999999,0.67272
