time,I_YSZ_bottom,dt,eta_total,j_YSZ_bottom,numerical_phi_YSZ,phi_LSM_model
0,0,0,0,0,0.036069999999999,1.07272
0.01,-8.9435681148269e-09,0.01,0.004,-0.0089749525592777,0.036069999999999,1.06872
0.029,-2.584143618217e-08,0.019,0.0116,-0.025932118011612,0.036069999999999,1.06112
0.0651,-5.9029977508365e-08,0.0361,0.02604,-0.059237123361816,0.036069999999999,1.04668
0.1,-9.3582107864081e-08,0.0349,0.04,-0.093910502798647,0.036069999999999,1.03272
0.2,-2.1639072385744e-07,0.1,0.08,-0.21715007432757,0.036069999999999,0.99272
0.3,-3.9178513663413e-07,0.1,0.12,-0.39315997480828,0.036069999999999,0.95272
0.4,-6.3895884446225e-07,0.1,0.16,-0.64120105563602,0.036069999999999,0.91272
0.5,-9.7983723230334e-07,0.1,0.2,-0.98327564153702,0.036069999999999,0.87272
0.6,-1.4431142888395e-06,0.1,0.24,-1.4481784130965,0.036069999999999,0.83272
0.72,-2.2098932989898e-06,0.12,0.288,-2.2176481763043,0.036069999999999,0.78472
0.864,-3.5136463634467e-06,0.144,0.3456,-3.5259763236704,0.036069999999999,0.72712
1,-5.1897675443137e-06,0.136,0.4,-5.2079792881184,0.036069999999999,0.67272
