time,I_YSZ_bottom,dt,eta_total,j_YSZ_bottom,numerical_phi_YSZ,phi_LSM_model
0,0,0,0,0,0.036069999999999,1.07272
0.01,-1.2344175365391e-08,0.01,0.004,-0.012387493097316,0.036069999999999,1.06872
0.029,-3.570168534454e-08,0.019,0.0116,-0.035826968402276,0.036069999999999,1.06112
0.0651,-8.1895624399276e-08,0.0361,0.02604,-0.082183009550452,0.036069999999999,1.04668
0.1,-1.3072295644266e-07,0.0349,0.04,-0.13118168469432,0.036069999999999,1.03272
0.2,-3.1169278999707e-07,0.1,0.08,-0.31278657101688,0.036069999999999,0.99272
0.3,-5.8662700332856e-07,0.1,0.12,-0.58868557350581,0.036069999999999,0.95272
0.4,-9.9384844788502e-07,0.1,0.16,-0.99733602476762,0.036069999999999,0.91272
0.5,-1.5743208144565e-06,0.1,0.2,-1.5798453638886,0.036069999999999,0.87272
0.6,-2.3754444400604e-06,0.1,0.24,-2.3837802634274,0.036069999999999,0.83272
0.72,-3.6969601088797e-06,0.12,0.288,-3.709933347042,0.036069999999999,0.78472
0.864,-5.8853837855777e-06,0.144,0.3456,-5.9060365606356,0.036069999999999,0.72712
1,-8.5842365047605e-06,0.136,0.4,-8.6143599957742,0.036069999999999,0.67272
