time,I_YSZ_bottom,dt,eta_total,j_YSZ_bottom,numerical_phi_YSZ,phi_LSM_model
0,0,0,0,0,0.036069999999999,1.07272
0.01,-6.8421791436067e-09,0.01,0.004,-0.0068661894701898,0.036069999999999,1.06872
0.029,-1.9810177968014e-08,0.019,0.0116,-0.019879695125151,0.036069999999999,1.06112
0.0651,-4.5487815791042e-08,0.0361,0.02604,-0.045647439982367,0.036069999999999,1.04668
0.1,-7.2735646587812e-08,0.0349,0.04,-0.072990887877488,0.036069999999999,1.03272
0.2,-1.7530152169001e-07,0.1,0.08,-0.175916683424,0.036069999999999,0.99272
0.3,-3.3693985064736e-07,0.1,0.12,-0.33812222773558,0.036069999999999,0.95272
0.4,-5.8960752551343e-07,0.1,0.16,-0.59167655483089,0.036069999999999,0.91272
0.5,-9.7408738834782e-07,0.1,0.2,-0.9775056204379,0.036069999999999,0.87272
0.6,-1.5433810725267e-06,0.1,0.24,-1.5487970493399,0.036069999999999,0.83272
0.72,-2.5588269247783e-06,0.12,0.288,-2.5678062673012,0.036069999999999,0.78472
0.864,-4.3917865296733e-06,0.144,0.3456,-4.4071980274794,0.036069999999999,0.72712
1,-6.819465435194e-06,0.136,0.4,-6.8433960556564,0.036069999999999,0.67272
