time,I_YSZ_bottom,dt,eta_total,j_YSZ_bottom,numerical_phi_YSZ,phi_LSM_model
0,0,0,0,0,0.036069999999998,1.07272
0.01,-6.5698553072114e-09,0.01,0.004,-0.006592910004877,0.036069999999998,1.06872
0.029,-1.9000961476969e-08,0.019,0.0116,-0.019067638960981,0.036069999999998,1.06112
0.0651,-4.3573535234168e-08,0.0361,0.02604,-0.043726441901678,0.036069999999998,1.04668
0.1,-6.952951851811e-08,0.0349,0.04,-0.069773508979591,0.036069999999998,1.03272
0.2,-1.6588866321814e-07,0.1,0.08,-0.16647079369101,0.036069999999998,0.99272
0.3,-3.1452608683367e-07,0.1,0.12,-0.31562981035585,0.036069999999998,0.95272
0.4,-5.4317823480415e-07,0.1,0.16,-0.54508433614069,0.036069999999998,0.91272
0.5,-8.8981068012066e-07,0.1,0.2,-0.89293317144666,0.036069999999998,0.87272
0.6,-1.4093408008506e-06,0.1,0.24,-1.41428640841,0.036069999999998,0.83272
0.72,-2.3641327850674e-06,0.12,0.288,-2.3724289139854,0.036069999999998,0.78472
0.864,-4.1646373081647e-06,0.144,0.3456,-4.1792517021714,0.036069999999998,0.72712
1,-6.6387898684547e-06,0.136,0.4,-6.6620864687794,0.036069999999998,0.67272
