time,I_YSZ_bottom,dt,eta_total,j_YSZ_bottom,numerical_phi_YSZ,phi_LSM_model
0,0,0,0,0,0.036069999999999,1.07272
0.01,-4.9331932212566e-09,0.01,0.004,-0.0049505046037641,0.036069999999999,1.06872
0.029,-1.4263872665666e-08,0.019,0.0116,-0.014313926929644,0.036069999999999,1.06112
0.0651,-3.2636701173043e-08,0.0361,0.02604,-0.032751228699627,0.036069999999999,1.04668
0.1,-5.187779235724e-08,0.0349,0.04,-0.052059840022285,0.036069999999999,1.03272
0.2,-1.2134475864554e-07,0.1,0.08,-0.12177057726606,0.036069999999999,0.99272
0.3,-2.232170329441e-07,0.1,0.12,-0.22400033805018,0.036069999999999,0.95272
0.4,-3.7145107501667e-07,0.1,0.16,-0.3727545576402,0.036069999999999,0.91272
0.5,-5.8472390172229e-07,0.1,0.2,-0.58677579360449,0.036069999999999,0.87272
0.6,-8.9187954229188e-07,0.1,0.24,-0.89500929359389,0.036069999999999,0.83272
0.72,-1.444315748655e-06,0.12,0.288,-1.4493840890311,0.036069999999999,0.78472
0.864,-2.4951671438811e-06,0.144,0.3456,-2.5039230938126,0.036069999999999,0.72712
1,-3.9971388927057e-06,0.136,0.4,-4.0111655073554,0.036069999999999,0.67272
