time,I_YSZ_bottom,dt,eta_total,j_YSZ_bottom,numerical_phi_YSZ,phi_LSM_model
0,0,0,0,0,0.036069999999999,1.07272
0.01,-9.3114208453629e-09,0.01,0.004,-0.0093440961452575,0.036069999999999,1.06872
0.029,-2.6906231675639e-08,0.019,0.0116,-0.027000650046759,0.036069999999999,1.06112
0.0651,-6.116279350969e-08,0.0361,0.02604,-0.061377423763602,0.036069999999999,1.04668
0.1,-9.6219042393692e-08,0.0349,0.04,-0.096556690763152,0.036069999999999,1.03272
0.2,-2.1579789311681e-07,0.1,0.08,-0.21655516324682,0.036069999999999,0.99272
0.3,-3.8041410772517e-07,0.1,0.12,-0.3817490430976,0.036069999999999,0.95272
0.4,-6.1298655765558e-07,0.1,0.16,-0.61513762782365,0.036069999999999,0.91272
0.5,-9.432534892371e-07,0.1,0.2,-0.94656352012812,0.036069999999999,0.87272
0.6,-1.410640108161e-06,0.1,0.24,-1.4155902752024,0.036069999999999,0.83272
0.72,-2.2185822077964e-06,0.12,0.288,-2.2263675759142,0.036069999999999,0.78472
0.864,-3.6460318359747e-06,0.144,0.3456,-3.6588263584911,0.036069999999999,0.72712
1,-5.5189822308936e-06,0.136,0.4,-5.5383492429214,0.036069999999999,0.67272
