time,I_YSZ_bottom,dt,eta_total,j_YSZ_bottom,numerical_phi_YSZ,phi_LSM_model
0,0,0,0,0,0.03607,1.07272
0.01,-1.3677901444771e-08,0.01,0.004,-0.01372589943982,0.03607,1.06872
0.029,-3.9528222338917e-08,0.019,0.0116,-0.039666933341317,0.03607,1.06112
0.0651,-9.0371855097621e-08,0.0361,0.02604,-0.090688984729756,0.03607,1.04668
0.1,-1.4350836974737e-07,0.0349,0.04,-0.14401196410711,0.03607,1.03272
0.2,-3.3553713193242e-07,0.1,0.08,-0.33671458665107,0.03607,0.99272
0.3,-6.2224348783623e-07,0.1,0.12,-0.62442704208753,0.03607,0.95272
0.4,-1.0520219213236e-06,0.1,0.16,-1.0557136384466,0.03607,0.91272
0.5,-1.6828469142573e-06,0.1,0.2,-1.6887522995378,0.03607,0.87272
0.6,-2.5830287123983e-06,0.1,0.24,-2.5920929829554,0.03607,0.83272
0.72,-4.1134222366943e-06,0.12,0.288,-4.1278569086321,0.03607,0.78472
0.864,-6.6945502866534e-06,0.144,0.3456,-6.7180425594127,0.03607,0.72712
1,-9.8783599951692e-06,0.136,0.4,-9.9130247773404,0.03607,0.67272
