time,I_YSZ_bottom,dt,eta_total,j_YSZ_bottom,numerical_phi_YSZ,phi_LSM_model
0,0,0,0,0,0.036069999999999,1.07272
0.01,-1.2047300893916e-08,0.01,0.004,-0.012089576844726,0.036069999999999,1.06872
0.029,-3.4806090071978e-08,0.019,0.0116,-0.034928230339307,0.036069999999999,1.06112
0.0651,-7.9444566163071e-08,0.0361,0.02604,-0.079723350149692,0.036069999999999,1.04668
0.1,-1.2582778178507e-07,0.0349,0.04,-0.12626933206758,0.036069999999999,1.03272
0.2,-2.9095481689619e-07,0.1,0.08,-0.29197582497388,0.036069999999999,0.99272
0.3,-5.3373088379687e-07,0.1,0.12,-0.53560383283233,0.036069999999999,0.95272
0.4,-8.9598133850797e-07,0.1,0.16,-0.8991254836843,0.036069999999999,0.91272
0.5,-1.4279706751027e-06,0.1,0.2,-1.4329816579403,0.036069999999999,0.87272
0.6,-2.187820509089e-06,0.1,0.24,-2.1954979293707,0.036069999999999,0.83272
0.72,-3.4824445062289e-06,0.12,0.288,-3.4946649740283,0.036069999999999,0.78472
0.864,-5.6864972406264e-06,0.144,0.3456,-5.7064520902431,0.036069999999999,0.72712
1,-8.4556624013115e-06,0.136,0.4,-8.4853347047504,0.036069999999999,0.67272
