time,I_YSZ_bottom,dt,eta_total,j_YSZ_bottom,numerical_phi_YSZ,phi_LSM_model
0,0,0,0,0,0.036069999999998,1.07272
0.01,-1.0215143022044e-08,0.01,0.004,-0.010250989630983,0.036069999999998,1.06872
0.029,-2.9543064404385e-08,0.019,0.0116,-0.029646735853163,0.036069999999998,1.06112
0.0651,-6.7761942712787e-08,0.0361,0.02604,-0.067999730461441,0.036069999999998,1.04668
0.1,-1.0814429487897e-07,0.0349,0.04,-0.10852379091139,0.036069999999998,1.03272
0.2,-2.5790589971459e-07,0.1,0.08,-0.25881093373225,0.036069999999998,0.99272
0.3,-4.8667558705352e-07,0.1,0.12,-0.48838341135042,0.036069999999998,0.95272
0.4,-8.3022243184431e-07,0.1,0.16,-0.83313581825335,0.036069999999998,0.91272
0.5,-1.3307076945783e-06,0.1,0.2,-1.3353773656967,0.036069999999998,0.87272
0.6,-2.0404446352234e-06,0.1,0.24,-2.0476048894404,0.036069999999998,0.83272
0.72,-3.2490494047328e-06,0.12,0.288,-3.2604508509176,0.036069999999998,0.78472
0.864,-5.3210586820255e-06,0.144,0.3456,-5.339731147923,0.036069999999998,0.72712
1,-7.94671129345e-06,0.136,0.4,-7.9745976041433,0.036069999999998,0.67272
