time,I_YSZ_bottom,dt,eta_total,j_YSZ_bottom,numerical_phi_YSZ,phi_LSM_model
0,0,0,0,0,0.036069999999999,1.07272
0.01,-1.2198544244459e-08,0.01,0.004,-0.012241350932942,0.036069999999999,1.06872
0.029,-3.528932214621e-08,0.019,0.0116,-0.035413158153986,0.036069999999999,1.06112
0.0651,-8.1094456563713e-08,0.0361,0.02604,-0.081379030285813,0.036069999999999,1.04668
0.1,-1.2975531225958e-07,0.0349,0.04,-0.13021064488942,0.036069999999999,1.03272
0.2,-3.1288344398028e-07,0.1,0.08,-0.31398140319981,0.036069999999999,0.99272
0.3,-5.9704349893084e-07,0.1,0.12,-0.59913862229618,0.036069999999999,0.95272
0.4,-1.023040281045e-06,0.1,0.16,-1.0266302968485,0.036069999999999,0.91272
0.5,-1.6327842852942e-06,0.1,0.2,-1.6385139926151,0.036069999999999,0.87272
0.6,-2.4722748285601e-06,0.1,0.24,-2.48095044561,0.036069999999999,0.83272
0.72,-3.8480636738657e-06,0.12,0.288,-3.8615671591711,0.036069999999999,0.78472
0.864,-6.1091135725075e-06,0.144,0.3456,-6.1305514520092,0.036069999999999,0.72712
1,-8.8860717874136e-06,0.136,0.4,-8.9172544678403,0.036069999999999,0.67272
