time,I_YSZ_bottom,dt,eta_total,j_YSZ_bottom,numerical_phi_YSZ,phi_LSM_model
0,0,0,0,0,0.036069999999998,1.07272
0.01,-1.3028731527565e-08,0.01,0.004,-0.013074451479115,0.036069999999998,1.06872
0.029,-3.7635643700064e-08,0.019,0.0116,-0.037767713334231,0.036069999999998,1.06112
0.0651,-8.5925093797162e-08,0.0361,0.02604,-0.086226619016022,0.036069999999998,1.04668
0.1,-1.3596630632729e-07,0.0349,0.04,-0.13644343435195,0.036069999999998,1.03272
0.2,-3.1347399498272e-07,0.1,0.08,-0.31457402654238,0.036069999999998,0.99272
0.3,-5.7379099807044e-07,0.1,0.12,-0.57580452460416,0.036069999999998,0.95272
0.4,-9.6216033118695e-07,0.1,0.16,-0.96553670928116,0.036069999999998,0.91272
0.5,-1.5325972691435e-06,0.1,0.2,-1.5379754038255,0.036069999999998,0.87272
0.6,-2.3465844577205e-06,0.1,0.24,-2.3548190066854,0.036069999999998,0.83272
0.72,-3.728921268492e-06,0.12,0.288,-3.742006663595,0.036069999999998,0.78472
0.864,-6.0662576016865e-06,0.144,0.3456,-6.0875450925716,0.036069999999998,0.72712
1,-8.9769074396758e-06,0.136,0.4,-9.0084088772747,0.036069999999998,0.67272
