time,I_YSZ_bottom,dt,eta_total,j_YSZ_bottom,numerical_phi_YSZ,phi_LSM_model
0,0,0,0,0,0.036069999999998,1.07272
0.01,-1.0356494122131e-08,0.01,0.004,-0.010392836755217,0.036069999999998,1.06872
0.029,-2.9938280670218e-08,0.019,0.0116,-0.030043338997564,0.036069999999998,1.06112
0.0651,-6.8414524131662e-08,0.0361,0.02604,-0.068654601895332,0.036069999999998,1.04668
0.1,-1.0855632372146e-07,0.0349,0.04,-0.10893726563054,0.036069999999998,1.03272
0.2,-2.5319179257608e-07,0.1,0.08,-0.25408028402015,0.036069999999998,0.99272
0.3,-4.6910786941517e-07,0.1,0.12,-0.47075404571529,0.036069999999998,0.95272
0.4,-7.9484546995026e-07,0.1,0.16,-0.79763471280931,0.036069999999998,0.91272
0.5,-1.2780930615698e-06,0.1,0.2,-1.2825780993286,0.036069999999998,0.87272
0.6,-1.9766822489705e-06,0.1,0.24,-1.9836187505371,0.036069999999998,0.83272
0.72,-3.1863865728386e-06,0.12,0.288,-3.1975681248892,0.036069999999998,0.78472
0.864,-5.288701833586e-06,0.144,0.3456,-5.307260754006,0.036069999999998,0.72712
1,-7.9792154497809e-06,0.136,0.4,-8.0072158228791,0.036069999999998,0.67272
