time,I_YSZ_bottom,dt,eta_total,j_YSZ_bottom,numerical_phi_YSZ,phi_LSM_model
0,0,0,0,0,0.036069999999999,1.07272
0.01,-8.068404715708e-09,0.01,0.004,-0.0080967180685394,0.036069999999999,1.06872
0.029,-2.3330943007835e-08,0.019,0.0116,-0.023412815105796,0.036069999999999,1.06112
0.0651,-5.3389160589909e-08,0.0361,0.02604,-0.053576511893472,0.036069999999999,1.04668
0.1,-8.4896629040892e-08,0.0349,0.04,-0.085194545208577,0.036069999999999,1.03272
0.2,-1.9957899498539e-07,0.1,0.08,-0.20027935034706,0.036069999999999,0.99272
0.3,-3.7222364186218e-07,0.1,0.12,-0.37352983554923,0.036069999999999,0.95272
0.4,-6.3370080995165e-07,0.1,0.16,-0.63592456982166,0.036069999999999,0.91272
0.5,-1.0256983514372e-06,0.1,0.2,-1.0292976948447,0.036069999999999,0.87272
0.6,-1.6062860477741e-06,0.1,0.24,-1.6119227684421,0.036069999999999,0.83272
0.72,-2.6552527651787e-06,0.12,0.288,-2.6645704817591,0.036069999999999,0.78472
0.864,-4.5863123846556e-06,0.144,0.3456,-4.602406505528,0.036069999999999,0.72712
1,-7.1796842343107e-06,0.136,0.4,-7.2048789215019,0.036069999999999,0.67272
