time,I_YSZ_bottom,dt,eta_total,j_YSZ_bottom,numerical_phi_YSZ,phi_LSM_model
0,0,0,0,0,0.036069999999998,1.07272
0.01,-1.1708770926506e-08,0.01,0.004,-0.011749858920248,0.036069999999998,1.06872
0.029,-3.3825755850599e-08,0.019,0.0116,-0.033944455964678,0.036069999999998,1.06112
0.0651,-7.7269639869703e-08,0.0361,0.02604,-0.077540791683956,0.036069999999998,1.04668
0.1,-1.2237609725495e-07,0.0349,0.04,-0.12280553501146,0.036069999999998,1.03272
0.2,-2.8165534060651e-07,0.1,0.08,-0.2826437152997,0.036069999999998,0.99272
0.3,-5.0596033204958e-07,0.1,0.12,-0.50773582967331,0.036069999999998,0.95272
0.4,-8.1565074622936e-07,0.1,0.16,-0.8185129982084,0.036069999999998,0.91272
0.5,-1.2312819859474e-06,0.1,0.2,-1.2356027559795,0.036069999999998,0.87272
0.6,-1.7769768588357e-06,0.1,0.24,-1.7832125614994,0.036069999999998,0.83272
0.72,-2.6430712690661e-06,0.12,0.288,-2.6523462387827,0.036069999999998,0.78472
0.864,-4.0467787139435e-06,0.144,0.3456,-4.0609795228513,0.036069999999998,0.72712
1,-5.7844777163889e-06,0.136,0.4,-5.8047763955331,0.036069999999998,0.67272
