time,I_YSZ_bottom,dt,eta_total,j_YSZ_bottom,numerical_phi_YSZ,phi_LSM_model
0,0,0,0,0,0.036069999999999,1.07272
0.01,-1.0748036573486e-08,0.01,0.004,-0.010785753193124,0.036069999999999,1.06872
0.029,-3.1099509414046e-08,0.019,0.0116,-0.031208642683131,0.036069999999999,1.06112
0.0651,-7.1485507673782e-08,0.0361,0.02604,-0.071736362021378,0.036069999999999,1.04668
0.1,-1.1450806255228e-07,0.0349,0.04,-0.11490989008713,0.036069999999999,1.03272
0.2,-2.7740422638041e-07,0.1,0.08,-0.27837768321794,0.036069999999999,0.99272
0.3,-5.330771297734e-07,0.1,0.12,-0.53494778467898,0.036069999999999,0.95272
0.4,-9.2247300731478e-07,0.1,0.16,-0.92571011609327,0.036069999999999,0.91272
0.5,-1.4889586860909e-06,0.1,0.2,-1.4941836858419,0.036069999999999,0.87272
0.6,-2.2836986849567e-06,0.1,0.24,-2.2917125574514,0.036069999999999,0.83272
0.72,-3.6121467697821e-06,0.12,0.288,-3.6248223840547,0.036069999999999,0.78472
0.864,-5.8321257048594e-06,0.144,0.3456,-5.8525915885944,0.036069999999999,0.72712
1,-8.5727429394978e-06,0.136,0.4,-8.6028260977096,0.036069999999999,0.67272
