time,I_YSZ_bottom,dt,eta_total,j_YSZ_bottom,numerical_phi_YSZ,phi_LSM_model
0,0,0,0,0,0.036069999999999,1.07272
0.01,-6.8844810121197e-09,0.01,0.004,-0.0069086397828837,0.036069999999999,1.06872
0.029,-1.9911531717595e-08,0.019,0.0116,-0.019981404541629,0.036069999999999,1.06112
0.0651,-4.5666508339619e-08,0.0361,0.02604,-0.045826759592346,0.036069999999999,1.04668
0.1,-7.2882907099081e-08,0.0349,0.04,-0.073138665149996,0.036069999999999,1.03272
0.2,-1.7418013043035e-07,0.1,0.08,-0.17479135701887,0.036069999999999,0.99272
0.3,-3.31570977127e-07,0.1,0.12,-0.33273451395923,0.036069999999999,0.95272
0.4,-5.7537135032541e-07,0.1,0.16,-0.57739042257388,0.036069999999999,0.91272
0.5,-9.4488750984478e-07,0.1,0.2,-0.94820327478158,0.036069999999999,0.87272
0.6,-1.4923286823672e-06,0.1,0.24,-1.4975655079868,0.036069999999999,0.83272
0.72,-2.4740298214446e-06,0.12,0.288,-2.4827115970519,0.036069999999999,0.78472
0.864,-4.2656003345782e-06,0.144,0.3456,-4.2805690243708,0.036069999999999,0.72712
1,-6.6707781761864e-06,0.136,0.4,-6.6941870287189,0.036069999999999,0.67272
