time,I_YSZ_bottom,dt,eta_total,j_YSZ_bottom,numerical_phi_YSZ,phi_LSM_model
0,0,0,0,0,0.036069999999999,1.07272
0.01,-9.8989866798474e-09,0.01,0.004,-0.0099337238444314,0.036069999999999,1.06872
0.029,-2.8645680592141e-08,0.019,0.0116,-0.028746202974233,0.036069999999999,1.06112
0.0651,-6.5878644245551e-08,0.0361,0.02604,-0.066109823191613,0.036069999999999,1.04668
0.1,-1.0559718595126e-07,0.0349,0.04,-0.10596774376153,0.036069999999999,1.03272
0.2,-2.5674917685532e-07,0.1,0.08,-0.25765015174312,0.036069999999999,0.99272
0.3,-4.9558693982117e-07,0.1,0.12,-0.4973260355136,0.036069999999999,0.95272
0.4,-8.6150577309911e-07,0.1,0.16,-0.86452893787326,0.036069999999999,0.91272
0.5,-1.3977797544987e-06,0.1,0.2,-1.4026847924541,0.036069999999999,0.87272
0.6,-2.1555417516993e-06,0.1,0.24,-2.1631059005378,0.036069999999999,0.83272
0.72,-3.434444174164e-06,0.12,0.288,-3.4464962009412,0.036069999999999,0.78472
0.864,-5.6059989428042e-06,0.144,0.3456,-5.6256713107175,0.036069999999999,0.72712
1,-8.3429965164529e-06,0.136,0.4,-8.37227345686,0.036069999999999,0.67272
