time,I_YSZ_bottom,dt,eta_total,j_YSZ_bottom,numerical_phi_YSZ,phi_LSM_model
0,0,0,0,0,0.036069999999999,1.07272
0.01,-8.085421424512e-09,0.01,0.004,-0.00811379449176,0.036069999999999,1.06872
0.029,-2.3400776600129e-08,0.019,0.0116,-0.023482893755596,0.036069999999999,1.06112
0.0651,-5.3797484279939e-08,0.0361,0.02604,-0.053986268458167,0.036069999999999,1.04668
0.1,-8.619101383581e-08,0.0349,0.04,-0.086493472211613,0.036069999999999,1.03272
0.2,-2.0916593249104e-07,0.1,0.08,-0.20989992998566,0.036069999999999,0.99272
0.3,-4.033607385123e-07,0.1,0.12,-0.4047761973682,0.036069999999999,0.95272
0.4,-7.0269144141021e-07,0.1,0.16,-0.7051573006988,0.036069999999999,0.91272
0.5,-1.1476812714705e-06,0.1,0.2,-1.1517086729114,0.036069999999999,0.87272
0.6,-1.790725543498e-06,0.1,0.24,-1.7970094925467,0.036069999999999,0.83272
0.72,-2.9125188006165e-06,0.12,0.288,-2.9227393058261,0.036069999999999,0.78472
0.864,-4.9056947006374e-06,0.144,0.3456,-4.922909586335,0.036069999999999,0.72712
1,-7.5307725359265e-06,0.136,0.4,-7.5571992494363,0.036069999999999,0.67272
