time,I_YSZ_bottom,dt,eta_total,j_YSZ_bottom,numerical_phi_YSZ,phi_LSM_model
0,0,0,0,0,0.036069999999999,1.07272
0.01,-8.2047748828947e-09,0.01,0.004,-0.0082335667809647,0.036069999999999,1.06872
0.029,-2.369413456848e-08,0.019,0.0116,-0.023777281165076,0.036069999999999,1.06112
0.0651,-5.3919727509921e-08,0.0361,0.02604,-0.054108940659652,0.036069999999999,1.04668
0.1,-8.4977772627046e-08,0.0349,0.04,-0.085275973540857,0.036069999999999,1.03272
0.2,-1.9186963921491e-07,0.1,0.08,-0.19254294118527,0.036069999999999,0.99272
0.3,-3.4059490592217e-07,0.1,0.12,-0.34179010919764,0.036069999999999,0.95272
0.4,-5.5228302834471e-07,0.1,0.16,-0.55422107989211,0.036069999999999,0.91272
0.5,-8.5552545472409e-07,0.1,0.2,-0.85852763358216,0.036069999999999,0.87272
0.6,-1.2900320036452e-06,0.1,0.24,-1.294558937106,0.036069999999999,0.83272
0.72,-2.0540177891074e-06,0.12,0.288,-2.0612256737431,0.036069999999999,0.78472
0.864,-3.4297773586321e-06,0.144,0.3456,-3.4418130087897,0.036069999999999,0.72712
1,-5.2619551322929e-06,0.136,0.4,-5.2804201941599,0.036069999999999,0.67272
