time,I_YSZ_bottom,dt,eta_total,j_YSZ_bottom,numerical_phi_YSZ,phi_LSM_model
0,0,0,0,0,0.03607,1.07272
0.01,-6.8300226311878e-09,0.01,0.004,-0.006853990298579,0.03607,1.06872
0.029,-1.977173997451e-08,0.019,0.0116,-0.019841122246436,0.03607,1.06112
0.0651,-4.5542576714614e-08,0.0361,0.02604,-0.045702393070983,0.03607,1.04668
0.1,-7.3192291003273e-08,0.0349,0.04,-0.073449134732949,0.03607,1.03272
0.2,-1.8018158016967e-07,0.1,0.08,-0.18081386682767,0.03607,0.99272
0.3,-3.5367633501866e-07,0.1,0.12,-0.35491744317007,0.03607,0.95272
0.4,-6.262571986831e-07,0.1,0.16,-0.62845483770275,0.03607,0.91272
0.5,-1.0365363297776e-06,0.1,0.2,-1.0401737054252,0.03607,0.87272
0.6,-1.6351889090539e-06,0.1,0.24,-1.6409270545931,0.03607,0.83272
0.72,-2.6911325066984e-06,0.12,0.288,-2.7005761311648,0.03607,0.78472
0.864,-4.5955109651713e-06,0.144,0.3456,-4.6116373653684,0.03607,0.72712
1,-7.1420649272234e-06,0.136,0.4,-7.1671276021083,0.03607,0.67272
