time,I_YSZ_bottom,dt,eta_total,j_YSZ_bottom,numerical_phi_YSZ,phi_LSM_model
0,0,0,0,0,0.036069999999999,1.07272
0.01,-1.0606661879387e-08,0.01,0.004,-0.010643882392083,0.036069999999999,1.06872
0.029,-3.0644945294049e-08,0.019,0.0116,-0.030752483423231,0.036069999999999,1.06112
0.0651,-6.9978324242777e-08,0.0361,0.02604,-0.070223889637009,0.036069999999999,1.04668
0.1,-1.1083617934394e-07,0.0349,0.04,-0.11122512163958,0.036069999999999,1.03272
0.2,-2.5517654969061e-07,0.1,0.08,-0.25607200597227,0.036069999999999,0.99272
0.3,-4.5915129751559e-07,0.1,0.12,-0.46076253457517,0.036069999999999,0.95272
0.4,-7.4309371538782e-07,0.1,0.16,-0.74570135286908,0.036069999999999,0.91272
0.5,-1.1286374064147e-06,0.1,0.2,-1.1325979798158,0.036069999999999,0.87272
0.6,-1.6425824975525e-06,0.1,0.24,-1.648346588404,0.036069999999999,0.83272
0.72,-2.4718010770831e-06,0.12,0.288,-2.4804750316615,0.036069999999999,0.78472
0.864,-3.838279251668e-06,0.144,0.3456,-3.8517484018343,0.036069999999999,0.72712
1,-5.5481299235477e-06,0.136,0.4,-5.5675992196001,0.036069999999999,0.67272
