time,I_YSZ_bottom,dt,eta_total,j_YSZ_bottom,numerical_phi_YSZ,phi_LSM_model
0,0,0,0,0,0.036069999999998,1.07272
0.01,-1.054676709124e-08,0.01,0.004,-0.01058377742332,0.036069999999998,1.06872
0.029,-3.0500199768869e-08,0.019,0.0116,-0.03060722996231,0.036069999999998,1.06112
0.0651,-6.992984154119e-08,0.0361,0.02604,-0.070175236801687,0.036069999999998,1.04668
0.1,-1.1157269668052e-07,0.0349,0.04,-0.11196422353605,0.036069999999998,1.03272
0.2,-2.6566481906243e-07,0.1,0.08,-0.26659708039811,0.036069999999998,0.99272
0.3,-5.0076000417641e-07,0.1,0.12,-0.50251725299841,0.036069999999998,0.95272
0.4,-8.5327624548287e-07,0.1,0.16,-0.85627053149756,0.036069999999998,0.91272
0.5,-1.3649211940528e-06,0.1,0.2,-1.3697109259411,0.036069999999998,0.87272
0.6,-2.0848601557343e-06,0.1,0.24,-2.092176271283,0.036069999999998,0.83272
0.72,-3.2968823387468e-06,0.12,0.288,-3.3084516385266,0.036069999999998,0.78472
0.864,-5.347060073e-06,0.144,0.3456,-5.3658237820345,0.036069999999998,0.72712
1,-7.9173949186646e-06,0.136,0.4,-7.9451783534,0.036069999999998,0.67272
