time,I_YSZ_bottom,dt,eta_total,j_YSZ_bottom,numerical_phi_YSZ,phi_LSM_model
0,0,0,0,0,0.036069999999998,1.07272
0.01,-9.8071922600667e-09,0.01,0.004,-0.0098416073030063,0.036069999999998,1.06872
0.029,-2.8338474218376e-08,0.019,0.0116,-0.028437918563017,0.036069999999998,1.06112
0.0651,-6.4715950774987e-08,0.0361,0.02604,-0.064943049639345,0.036069999999998,1.04668
0.1,-1.0253172389053e-07,0.0349,0.04,-0.10289152449266,0.036069999999998,1.03272
0.2,-2.3735952711429e-07,0.1,0.08,-0.23819246054734,0.036069999999998,0.99272
0.3,-4.3539418219678e-07,0.1,0.12,-0.43692205164999,0.036069999999998,0.95272
0.4,-7.3113320932305e-07,0.1,0.16,-0.73369887543076,0.036069999999998,0.91272
0.5,-1.1707588386693e-06,0.1,0.2,-1.1748672230709,0.036069999999998,0.87272
0.6,-1.8161670300246e-06,0.1,0.24,-1.8225402574139,0.036069999999998,0.83272
0.72,-2.9655997839741e-06,0.12,0.288,-2.9760065590429,0.036069999999998,0.78472
0.864,-5.0345826945781e-06,0.144,0.3456,-5.0522498693436,0.036069999999998,0.72712
1,-7.750803136188e-06,0.136,0.4,-7.77800197309,0.036069999999998,0.67272
