time,I_YSZ_bottom,dt,eta_total,j_YSZ_bottom,numerical_phi_YSZ,phi_LSM_model
0,0,0,0,0,0.036069999999998,1.07272
0.01,-5.8022125847655e-09,0.01,0.004,-0.0058225734984658,0.036069999999998,1.06872
0.029,-1.6771427085767e-08,0.019,0.0116,-0.016830280768657,0.036069999999998,1.06112
0.0651,-3.8344911958276e-08,0.0361,0.02604,-0.038479470530859,0.036069999999998,1.04668
0.1,-6.0871029514679e-08,0.0349,0.04,-0.061084635920975,0.036069999999998,1.03272
0.2,-1.4157997958941e-07,0.1,0.08,-0.14207680691244,0.036069999999998,0.99272
0.3,-2.5862706522651e-07,0.1,0.12,-0.25953462993199,0.036069999999998,0.95272
0.4,-4.2724084509813e-07,0.1,0.16,-0.42874010315688,0.036069999999998,0.91272
0.5,-6.6744907909343e-07,0.1,0.2,-0.66979126716396,0.036069999999998,0.87272
0.6,-1.0094769037346e-06,0.1,0.24,-1.0130193234269,0.036069999999998,0.83272
0.72,-1.6145826960204e-06,0.12,0.288,-1.6202485309852,0.036069999999998,0.78472
0.864,-2.7364607117987e-06,0.144,0.3456,-2.7460634003564,0.036069999999998,0.72712
1,-4.2942705417818e-06,0.136,0.4,-4.3093398400244,0.036069999999998,0.67272
