time,I_YSZ_bottom,dt,eta_total,j_YSZ_bottom,numerical_phi_YSZ,phi_LSM_model
0,0,0,0,0,0.036069999999999,1.07272
0.01,-8.7177242101231e-09,0.01,0.004,-0.0087483161313449,0.036069999999999,1.06872
0.029,-2.5228853657465e-08,0.019,0.0116,-0.025317385834556,0.036069999999999,1.06112
0.0651,-5.803578555008e-08,0.0361,0.02604,-0.058239442621215,0.036069999999999,1.04668
0.1,-9.3069785617568e-08,0.0349,0.04,-0.093396382729511,0.036069999999999,1.03272
0.2,-2.2692708725771e-07,0.1,0.08,-0.22772341155166,0.036069999999999,0.99272
0.3,-4.4047240348822e-07,0.1,0.12,-0.44201809325118,0.036069999999999,0.95272
0.4,-7.7220640379335e-07,0.1,0.16,-0.77491620246355,0.036069999999999,0.91272
0.5,-1.2667623409071e-06,0.1,0.2,-1.2712076173125,0.036069999999999,0.87272
0.6,-1.9792770354443e-06,0.1,0.24,-1.9862226425414,0.036069999999999,0.83272
0.72,-3.2081141251717e-06,0.12,0.288,-3.2193719227599,0.036069999999999,0.78472
0.864,-5.3322462228802e-06,0.144,0.3456,-5.3509579476897,0.036069999999999,0.72712
1,-8.0227430806043e-06,0.136,0.4,-8.050896199284,0.036069999999999,0.67272
