time,I_YSZ_bottom,dt,eta_total,j_YSZ_bottom,numerical_phi_YSZ,phi_LSM_model
0,0,0,0,0,0.036069999999999,1.07272
0.01,-8.1240094453848e-09,0.01,0.004,-0.0081525179243144,0.036069999999999,1.06872
0.029,-2.351427911092e-08,0.019,0.0116,-0.023596794565276,0.036069999999999,1.06112
0.0651,-5.4120004793383e-08,0.0361,0.02604,-0.054309920748884,0.036069999999999,1.04668
0.1,-8.6865932903457e-08,0.0349,0.04,-0.087170759680743,0.036069999999999,1.03272
0.2,-2.1251718222879e-07,0.1,0.08,-0.21326293980729,0.036069999999999,0.99272
0.3,-4.1359070951675e-07,0.1,0.12,-0.41504206701541,0.036069999999999,0.95272
0.4,-7.2540982104873e-07,0.1,0.16,-0.72795540285014,0.036069999999999,0.91272
0.5,-1.1884528731021e-06,0.1,0.2,-1.1926233487668,0.036069999999999,0.87272
0.6,-1.8537871743919e-06,0.1,0.24,-1.8602924170257,0.036069999999999,0.83272
0.72,-3.0039315554067e-06,0.12,0.288,-3.0144728429359,0.036069999999999,0.78472
0.864,-5.022773241997e-06,0.144,0.3456,-5.0403989754603,0.036069999999999,0.72712
1,-7.6516235151016e-06,0.136,0.4,-7.6784743144789,0.036069999999999,0.67272
