time,I_YSZ_bottom,dt,eta_total,j_YSZ_bottom,numerical_phi_YSZ,phi_LSM_model
0,0,0,0,0,0.036069999999999,1.07272
0.01,-7.2235003597259e-09,0.01,0.004,-0.0072488488048733,0.036069999999999,1.06872
0.029,-2.0878329287241e-08,0.019,0.0116,-0.020951594762198,0.036069999999999,1.06112
0.0651,-4.7716848128507e-08,0.0361,0.02604,-0.047884294359165,0.036069999999999,1.04668
0.1,-7.570582798977e-08,0.0349,0.04,-0.075971492132163,0.036069999999999,1.03272
0.2,-1.7566060283435e-07,0.1,0.08,-0.17627702464286,0.036069999999999,0.99272
0.3,-3.1991300606788e-07,0.1,0.12,-0.32103563317142,0.036069999999999,0.95272
0.4,-5.263064304532e-07,0.1,0.16,-0.52815332586659,0.036069999999999,0.91272
0.5,-8.1673578246807e-07,0.1,0.2,-0.81960184201688,0.036069999999999,0.87272
0.6,-1.221248957618e-06,0.1,0.24,-1.2255345201115,0.036069999999999,0.83272
0.72,-1.9107670712601e-06,0.12,0.288,-1.9174722656788,0.036069999999999,0.78472
0.864,-3.1233512256135e-06,0.144,0.3456,-3.1343115763127,0.036069999999999,0.72712
1,-4.7306047029504e-06,0.136,0.4,-4.7472051691863,0.036069999999999,0.67272
