time,I_YSZ_bottom,dt,eta_total,j_YSZ_bottom,numerical_phi_YSZ,phi_LSM_model
0,0,0,0,0,0.03607,1.07272
0.01,-1.2689919266601e-08,0.01,0.004,-0.012734450270469,0.03607,1.06872
0.029,-3.6671679271713e-08,0.019,0.0116,-0.036800366196914,0.03607,1.06112
0.0651,-8.3523443719542e-08,0.0361,0.02604,-0.083816541155163,0.03607,1.04668
0.1,-1.3182162091911e-07,0.0349,0.04,-0.13228420456425,0.03607,1.03272
0.2,-3.0027765004809e-07,0.1,0.08,-0.30133137347333,0.03607,0.99272
0.3,-5.4106136509497e-07,0.1,0.12,-0.5429600379892,0.03607,0.95272
0.4,-8.9433670005215e-07,0.1,0.16,-0.89747507392293,0.03607,0.91272
0.5,-1.4124875872335e-06,0.1,0.2,-1.4174442373814,0.03607,0.87272
0.6,-2.162137808554e-06,0.1,0.24,-2.1697251040357,0.03607,0.83272
0.72,-3.4698136938454e-06,0.12,0.288,-3.4819898380566,0.03607,0.78472
0.864,-5.7562365257498e-06,0.144,0.3456,-5.7764361019334,0.03607,0.72712
1,-8.6741910177912e-06,0.136,0.4,-8.7046301739153,0.03607,0.67272
