time,I_YSZ_bottom,dt,eta_total,j_YSZ_bottom,numerical_phi_YSZ,phi_LSM_model
0,0,0,0,0,0.036069999999998,1.07272
0.01,-1.1953496695543e-08,0.01,0.004,-0.011995443472067,0.036069999999998,1.06872
0.029,-3.4555010567659e-08,0.019,0.0116,-0.034676269755909,0.036069999999998,1.06112
0.0651,-7.9101056001573e-08,0.0361,0.02604,-0.07937863455481,0.036069999999998,1.04668
0.1,-1.2584629286011e-07,0.0349,0.04,-0.12628790810102,0.036069999999998,1.03272
0.2,-2.9619099130963e-07,0.1,0.08,-0.29723037398042,0.036069999999998,0.99272
0.3,-5.5119903716839e-07,0.1,0.12,-0.55313328481332,0.036069999999998,0.95272
0.4,-9.3018681822361e-07,0.1,0.16,-0.93345099602722,0.036069999999998,0.91272
0.5,-1.4792655626085e-06,0.1,0.2,-1.4844565476026,0.036069999999998,0.87272
0.6,-2.2538843295362e-06,0.1,0.24,-2.2617935785776,0.036069999999998,0.83272
0.72,-3.565733587133e-06,0.12,0.288,-3.5782463299505,0.036069999999998,0.78472
0.864,-5.80874435671e-06,0.144,0.3456,-5.8291281914672,0.036069999999998,0.72712
1,-8.6559794878095e-06,0.136,0.4,-8.686354736694,0.036069999999998,0.67272
