time,I_YSZ_bottom,dt,eta_total,j_YSZ_bottom,numerical_phi_YSZ,phi_LSM_model
0,0,0,0,0,0.036069999999998,1.07272
0.01,-1.2038615205179e-08,0.01,0.004,-0.012080860676485,0.036069999999998,1.06872
0.029,-3.4836317998092e-08,0.019,0.0116,-0.034958564340161,0.036069999999998,1.06112
0.0651,-7.9990726345061e-08,0.0361,0.02604,-0.08027142689716,0.036069999999998,1.04668
0.1,-1.2789199051648e-07,0.0349,0.04,-0.12834078444531,0.036069999999998,1.03272
0.2,-3.0722804409161e-07,0.1,0.08,-0.30830615758722,0.036069999999998,0.99272
0.3,-5.8359243583302e-07,0.1,0.12,-0.58564035721621,0.036069999999998,0.95272
0.4,-9.9683174909617e-07,0.1,0.16,-1.000329794871,0.036069999999998,0.91272
0.5,-1.5889994489203e-06,0.1,0.2,-1.5945755080834,0.036069999999998,0.87272
0.6,-2.4069968957172e-06,0.1,0.24,-2.4154434418157,0.036069999999998,0.83272
0.72,-3.7546443623172e-06,0.12,0.288,-3.7678200239669,0.036069999999998,0.78472
0.864,-5.9821345306347e-06,0.144,0.3456,-6.0031268198937,0.036069999999998,0.72712
1,-8.7282081637998e-06,0.136,0.4,-8.7588368749312,0.036069999999998,0.67272
